cave,longitude,latitude,forest.area,ag.area,cattle.den,farm.den,dist.to.ag,group,count_all,mC_all,sdC_all,mN_all,sdN_all,count_micro,mC_micro,sdC_micro,mN_micro,sdN_micro,disturbance_3C,disturbance_2C
Damas,-84.189996,9.5278766,174790677.1,111088010.1,10364,354,384.5730328,wildlife,18,-14.61055556,1.692608402,9.347777778,1.328309654,8,-14.7625,2.07711854,8.95875,1.308493545,p,p
Laguna_Perdida,-83.1844835,8.7266707,241609111.5,64954379.69,13925,464,565.1806979,wildlife,20,-14.1045,2.136360592,9.034,1.994960493,3,-14.09333333,1.7862344,10.48,0.546900357,p,p
Tunel_Miraflores,-84.676819,9.925947,106597780.8,117557442.1,17161,599,0,wildlife,19,-13.12526316,2.073018112,7.715789474,2.166364891,2,-14.74,5.755849199,6.095,0.06363961,i,p
Tunel_Peralta,-83.605467,9.981433,147684475.7,159849896.1,39208,1762,0,wildlife,17,-12.98058824,0.868327923,10.43235294,1.039558376,5,-13.7075,0.4752,10.695,1.659086094,d,d
El_Duende,-85.6135706,10.8381564,138684011.5,163837982.8,13371,172,44.26220963,wildlife,13,-12.31384615,1.87931964,8.839230769,0.493785742,6,-11.89,0.969355456,8.73,0.335186515,p,p
Los_Araya,-85.289288,10.925214,192426130.9,116473397.5,15778,593,752.6641101,wildlife,9,-11.71555556,0.786036117,9.597777778,1.392136647,2,-11.755,0.077781746,8.365,2.496086938,p,p
Bijagual,-84.117365,10.392749,168518443,134359208.3,51875,1226,45.96087111,cattle,20,-10.8245,1.731815217,9.119,1.613570412,3,-11.48,4.056118835,8.643333333,1.586579129,i,d
Mina_del_Aguacate,-84.472793,9.967635,148811200.4,142932006.8,20909,988,21.91117328,cattle,20,-10.181,1.26466097,7.4605,1.469455592,2,-9.48,,7.98,,i,p
Tunel_ICE,-83.3238496,8.9447953,161267573.2,143470835.8,37508,1169,169.0508374,cattle,18,-10.045,1.126636065,6.564444444,1.794865953,7,-9.625714286,1.079997795,7.712857143,0.480233078,i,d
Gabinarraca,-84.7690247,10.55631,113058535.7,194543070.7,65912,1209,0,cattle,20,-9.618,0.848841936,7.973,0.607289925,4,-10.0025,0.436835209,8.2275,0.329380732,d,d
Tunel_Arenal,-84.484444,10.485,46185907.8,258919225.5,107843,1902,43.34535485,cattle,21,-9.164285714,1.083589274,7.327619048,2.185696467,5,-9.56,0.700749599,7.33,1.679047349,d,d